"ecommerce","marca","producto","precio.antes","precio.actual","pulgadas","rangos"
"linio","lg","lg - tv led webos 3d smart ultra hd 49'' - 49uf8500",3400,2800,49,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led 3d smart full hd 55'' - 55j6400",3999,2999,55,"S/.2500 - S/.3500"
"linio","lg","lg - tv led webos 3d smart ultra hd 49'' - 49uf8500.",3899,2769,49,"S/.2500 - S/.3500"
"linio","lg","tv lg slim ultra hd 4k smart webos 2.0  55'' 55uf7700 - plateado",4999,3299,55,"S/.2500 - S/.3500"
"linio","lg","lg tv led full hd 55'' - 55lb5610.",2999,2399,55,"S/.1500 - S/.2500"
"linio","lg","lg tv led smart full hd 43'' 43lf6350 - negro",2299,1399,43,"S/.500 - S/.1500"
"linio","lg","lg tv slim ultra hd 3d webos 2.0 55'' 55uf8500 - plateado",4999,3999,55,"S/.3500 - S/.4500"
"linio","lg","televisor lg led webos smart ultra hd  60"" 60uf7700 - negro",4999,4299,60,"S/.3500 - S/.4500"
"linio","samsung","samsung tv led hd 32'' un32j4000 - negro",1099,829,32,"S/.500 - S/.1500"
"linio","daewoo","daewoo - tv led 32"" l32r640ats - negro",999,649,32,"S/.500 - S/.1500"
"linio","lg","lg - tv led webos smart ultra hd 49'' - 49uf6900",3999,2449,49,"S/.1500 - S/.2500"
"linio","sony","televisor sony kdl-48r555c led smart tv full hd 48''  ""ì negro",NA,2449,48,"S/.1500 - S/.2500"
"linio","sony","televisor sony kdl-55w805c 55"" led smart 3d full hd con android",NA,4499,55,"S/.3500 - S/.4500"
"linio","samsung","samsung tv 4k smart curvo ultra hd 65""ù - 65h9000- modelo 2015",14999,9999,65,"> S/.4,500"
"linio","lg","lg smart tv  webos 2.0 full hd 40"" - 40lf6350",1499,1299,40,"S/.500 - S/.1500"
"linio","lg","televisor lg led smart webos 2.0 full hd 55"" - 55lf6350",2999,2499,55,"S/.1500 - S/.2500"
"linio","lg","lg tv smart webos 2.0 full hd 43"" 43lf5900 -negro",1999,1349,43,"S/.500 - S/.1500"
"linio","sony","sony - tv led smart full hd 40'' - 40r555c",1799,1499,40,"S/.500 - S/.1500"
"linio","lg","lg tv led ultra-slim full hd 47"" - 47ly340c",1899,1595,47,"S/.1500 - S/.2500"
"linio","samsung","televisor samsung un48j5300 smart tv led full hd 48''-negro",2499,1699,48,"S/.1500 - S/.2500"
"linio","lg","lg tv led full hd 43'' - 43lf5410",1599,1267,43,"S/.500 - S/.1500"
"linio","samsung","samsung - 55j6400 led 55"" smart tizen 3d - black",4999,2997,55,"S/.2500 - S/.3500"
