categoria;subcategoria;url;paginas
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/mazzarri?page=2;2
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/adidas?page=9;9
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/guess;1
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/puma?page=5;5
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/steve-madden;1
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/marquis?page=3;3
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/index?page=5;5
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/foresta;1
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/nike?page=4;4
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/converse?page=5;5
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/vans?page=2;2
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/caterpillar?page=2;2
Cómputo;Laptops;http://simple.ripley.com.pe/computo/laptops/todas-las-laptops?page=6;6
Cómputo;Laptops;http://simple.ripley.com.pe/computo/2-en-1-convertibles/laptops-2-en-1;1
Cómputo;Laptops;http://simple.ripley.com.pe/computo/computadoras/pc-all-in-one;1
Cómputo;Zona Gamer;http://simple.ripley.com.pe/computo/zona-gamer/todo-zona-gamer?page=2;2
Cómputo;Tablets;http://simple.ripley.com.pe/computo/tablets-phablets-y-accesorios/todo-tablets?page=3;3
Cómputo;Impresoras y tintas;http://simple.ripley.com.pe/computo/impresoras-y-tintas/todo-impresoras?page=3;3
Cómputo;Accesorios y Software;http://simple.ripley.com.pe/computo/accesorios-y-software/todo-accesorios-y-software?page=6;6
Cómputo;Almacenamiento;http://simple.ripley.com.pe/computo/almacenamiento/todo-almacenamiento?page=3;3
Cómputo;Proyectores y monitores;http://simple.ripley.com.pe/computo/proyectores-y-monitores/todo-proyectores-monitores?page=2;2
Cómputo;Marcas;http://simple.ripley.com.pe/computo/ofertas/especial-computo?page=3;3
Celulares;Smartphones;http://simple.ripley.com.pe/celulares/smartphones/todo-celulares-y-telefonia?page=3;3
Celulares;Operadores móviles;http://simple.ripley.com.pe/celulares/operadores-moviles/entel;1
Celulares;Operadores móviles;http://simple.ripley.com.pe/celulares/operadores-moviles/claro;1
Celulares;Smartwatchs y wearables;http://simple.ripley.com.pe/celulares/smartwatch-y-wearables/todo-smartwatch-y-wearables?page=2;2
Celulares;Accesorios celulares;http://simple.ripley.com.pe/celulares/accesorios-de-celulares/todo-accesorios-de-celulares?page=6;6
Celulares;Audio portátil;http://simple.ripley.com.pe/celulares/audio-portatil/ver-todo-audio-portatil?page=7;7
Electrohogar;Lavado y secado;http://simple.ripley.com.pe/electrohogar/lavado-y-secado/todo-lavado?page=4;4
Electrohogar;Lavado y secado;http://simple.ripley.com.pe/electrohogar/refrigeracion/todo-refrigeracion?page=7;7
Electrohogar;Cocinas y hornos;http://simple.ripley.com.pe/electrohogar/cocinas-y-hornos/todo-cocinas?page=21;21
Electrohogar;Electrodomésticos;http://simple.ripley.com.pe/electrohogar/electrodomesticos/todos-los-electrodomesticos?page=21;21
Electrohogar;Climatizacion y baño;http://simple.ripley.com.pe/electrohogar/climatizacion-y-bano/todo-climatizacion-y-bano?page=4;4
Electrohogar;Cuidado personal;http://simple.ripley.com.pe/electrohogar/cuidado-personal/todo-cuidado-personal?page=5;5
Electrohogar;Marcas;http://simple.ripley.com.pe/electrohogar/ofertas/especial-linea-blanca?page=22;22
Electrohogar;Más electrodomésticos;http://simple.ripley.com.pe/electrohogar/mas-electrodomesticos/combos?page=2;2
