"fecha","subcategoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre MK8362","S/ 1,359","S/ 699"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Acero In...","S/ 999","S/ 449"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Do...","S/ 1,219","S/ 729"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Do...","S/ 959","S/ 699"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Resina ...","S/ 569","S/ 369.85"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero In...","S/ 1,109","S/ 799"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Mujer Acero Pl...","S/ 689","S/ 482.30"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Análogo...","S/ 799","S/ 399"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Análogo...","S/ 799","S/ 309"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Análogo ...","S/ 999","S/ 499"
"2017-09-13","Accesorios-Hombre","Falabella","Festina","Reloj Hombre Análogo...","S/ 679","S/ 429"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Hombre Análogo...","S/ 429","S/ 249"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Hombre Análogo...","S/ 429","S/ 249"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Hombre Análogo...","S/ 429","S/ 249"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Hombre Análogo...","S/ 429","S/ 249"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Análogo ...","S/ 309","S/ 247.20"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Análogo ...","S/ 309","S/ 247.20"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Análogo ...","S/ 470","S/ 376"
