"fecha","categoria","ecommerce","marca","producto","precio.antes","precio.actual","recojo.tienda","solo.online"
"2017-08-23","televisores","falabella","AOC","/falabella-pe/product/15164868/Tablet-7''-IPS-QC-1GB-8GB-Rosado?navAction=push","S/ 299","S/ 159","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/14551966/Tablet-Galaxy-Tab-E-9,6-SM-T560NZKAPEO-8-GB-Negro?navAction=push","S/ 799","S/ 699","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/14551967/Tablet-Galaxy-Tab-E-9,6-SM-T560NZWAPEO-8-GB-Blanco?navAction=push","S/ 799","S/ 699","4",NA
"2017-08-23","televisores","falabella","LG","/falabella-pe/product/15197301/Monitor-21,5-LED-22MP58VQ-Negro?navAction=push",NA,"S/ 599",NA,NA
"2017-08-23","televisores","falabella","LG","/falabella-pe/product/15197383/Monitor-24-Gamer-24GM77-Negro?navAction=push",NA,"S/ 1,399",NA,NA
"2017-08-23","televisores","falabella","LG","/falabella-pe/product/15197398/Monitor-29-IPS-29UM68-Negro?navAction=push",NA,"S/ 1,499",NA,NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/15250561/MacBook-Pro-15,4-Retina-Intel-Core7-16-GB-256-GB-Gris?navAction=push",NA,"S/ 9,999",NA,NA
"2017-08-23","televisores","falabella","Asus","/falabella-pe/product/15194972/Notebook-Ci7-7500U-12G-1TB-VID2G-15.6''?navAction=push",NA,"S/ 3,899","4",NA
"2017-08-23","televisores","falabella","Kingston","/falabella-pe/product/15142678/Mobilelite-Wireless-G3-Wifi?navAction=push",NA,"S/ 299",NA,NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/14730074/Notebook-15,6-Intel-Core-i3-4-GB-1-TB-Silver?navAction=push","S/ 1,999","S/ 1,399","4",NA
"2017-08-23","televisores","falabella","AOC","/falabella-pe/product/15164866/Tablet-7''-IPS-QC-1GB-8GB-Azul?navAction=push","S/ 299","S/ 159",NA,NA
"2017-08-23","televisores","falabella","Huawei","/falabella-pe/product/14937549/Tablet-10,1-Wifi-3-GB-64-GB-Dorado?navAction=push",NA,"S/ 1,699","4",NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/14703519/Notebook-14-Intel-Core-i3-500U-4-GB-500-GB-Touch-Blanco?navAction=push","S/ 2,299","S/ 1,799","4",NA
"2017-08-23","televisores","falabella","Dlink","/falabella-pe/product/15146699/Kit-Extensor-Powerline-WiFi?navAction=push",NA,"S/ 359",NA,NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/14471970/Impresora-Multifuncional-L220?navAction=push",NA,"S/ 699","4",NA
"2017-08-23","televisores","falabella","Built","/falabella-pe/product/13340875/Funda-8-para-Tablet-E-ES8-SDT?navAction=push",NA,"S/ 29.90","4",NA
"2017-08-23","televisores","falabella","Microsoft","/falabella-pe/product/14008513/Office-365-Personal-PC-Mac-y-Tablet?navAction=push",NA,"S/ 199","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/13506168/Tinta-Liquida-T664320-Magenta?navAction=push","S/ 39.90","S/ 32.90","4",NA
"2017-08-23","televisores","falabella","Canon","/falabella-pe/product/10245140/Consumible-de-impresion?navAction=push",NA,"S/ 49","4",NA
"2017-08-23","televisores","falabella","Fiddler","/falabella-pe/product/15194848/Soporte-magnetico-para-Autos?navAction=push",NA,"S/ 24.90","4",NA
"2017-08-23","televisores","falabella","Skullcandy","/falabella-pe/product/15108138/Mochila-SKDY1163-Azul?navAction=push",NA,"S/ 169.90",NA,NA
"2017-08-23","televisores","falabella","Alcatel","/falabella-pe/product/15177856/Tablet-Pixi3-7''-Smoke-Grey-+-Skin-C?navAction=push","S/ 229","S/ 199",NA,NA
"2017-08-23","televisores","falabella","Sakar","/falabella-pe/product/13593105/Funda-para-iPad-SK-23009-BLK-Negro?navAction=push",NA,"S/ 39.90","4",NA
"2017-08-23","televisores","falabella","Case Logic","/falabella-pe/product/13877591/Mochila-Porta-Laptop-16-?navAction=push",NA,"S/ 249","4",NA
